"Ordre";"Anyo";"IdMaterial";"NomMaterial";"Quantitat";"Unitats"
"591";"2013";"18";"RAEE A5: làmpares fluorescents";"3";"Tones"
"592";"2001";"40";"Medicaments";"8";"Tones"
"593";"1999";"7";"Resta";"82040";"Tones"
"594";"1997";"17";"Medicaments i cosmètics";"";"Tones"
"595";"2016";"13";"Fusta";"1548";"Tones"
"596";"1991";"9";"Fracció vegetal";"";"Tones"
"597";"2003";"30";"Coure";"";"Tones"
"598";"2007";"2";"Paper";"10660";"Tones"
"599";"2007";"12";"Ferralla";"456";"Tones"
"600";"2012";"31";"RAEE A3: Televisors i monitors";"69";"Tones"
"601";"2005";"9";"Fracció vegetal";"718";"Tones"
"602";"1988";"16";"Piles";"";"Tones"
"603";"1997";"25";"Olis vegetals";"";"Tones"
"604";"1995";"38";"Comburents";"";"Tones"
"605";"2018";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"28";"Tones"
"606";"1989";"3";"Envasos";"";"Tones"
"607";"2015";"11";"Vidre Pla";"342";"Tones"
"608";"2001";"12";"Ferralla";"485";"Tones"
"609";"2009";"16";"Piles";"22";"Tones"
"610";"2007";"20";"Bateries";"16";"Tones"
"611";"2008";"43";"Plàstic rígid";"36";"Tones"
"612";"2009";"9";"Fracció vegetal";"859";"Tones"
"613";"1994";"7";"Resta";"77567";"Tones"
"614";"2010";"40";"Medicaments";"19";"Tones"
"615";"1995";"31";"RAEE A3: Televisors i monitors";"";"Tones"
"616";"1992";"2";"Paper";"";"Tones"
"617";"2007";"31";"RAEE A3: Televisors i monitors";"";"Tones"
"618";"1989";"17";"Medicaments i cosmètics";"";"Tones"
"619";"2015";"25";"Olis vegetals";"19";"Tones"
"620";"2014";"1";"Vidre";"2956";"Tones"
"621";"2004";"21";"Dissolvents";"4";"Tones"
"622";"2007";"28";"Voluminosos";"4796";"Tones"
"623";"2015";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"31";"Tones"
"624";"1997";"9";"Fracció vegetal";"";"Tones"
"625";"1989";"25";"Olis vegetals";"";"Tones"
"626";"2016";"46";"RAEE FRA (A1) Grans aparells d'intercanvi de temperatura, frigotrifics, aire acondicionat...";"5";"Tones"
"627";"2018";"2";"Paper";"3613";"Tones"
"628";"2015";"3";"Envasos";"3329";"Tones"
"629";"2007";"19";"Pneumàtics";"19";"Tones"
"630";"2003";"37";"Reactius de laboratori";"";"Tones"
"631";"1995";"1";"Vidre";"1483";"Tones"
"632";"2010";"30";"Coure";"1";"Tones"
"633";"2012";"26";"Olis minerals";"12";"Tones"
"634";"2011";"2";"Paper";"7091";"Tones"
"635";"2012";"20";"Bateries";"14";"Tones"
"636";"2003";"11";"Vidre Pla";"";"Tones"
"637";"2007";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"182";"Tones"
